Ideology_1,Ideology_2,Ideology_3,Ideology_4
E069_17_support,A124_09_oppose,F115_support,E069_07_oppose
E069_06_support,A124_07_oppose,F114A_support,F123_oppose
E069_08_support,F121_support,F116_support,E069_04_oppose
E069_02_support,A124_02_oppose,F121_support,F119_oppose
F119_oppose,A124_06_oppose,E069_08_support,F118_oppose
F117_oppose,F118_support,E069_05_support,E069_08_oppose
F123_oppose,F117_oppose,F122_support,F120_oppose
F116_oppose,F122_support,F120_support,E069_05_oppose
G006_support,E069_07_oppose,E069_04_support,F122_oppose
F115_oppose,E069_01_oppose,F123_support,F117_oppose
