,W5_Ideology_1,W5_Ideology_2,W5_Ideology_3,W5_Ideology_4,W5_Ideology_5,W5_Ideology_6,W5_Ideology_7
W4_Ideology_1,0.6666666666666666,0.17647058823529413,0.25,0.0,0.0,0.3333333333333333,0.1111111111111111
W4_Ideology_2,0.17647058823529413,0.0,0.42857142857142855,0.0,0.0,0.17647058823529413,0.6666666666666666
W4_Ideology_3,0.05263157894736842,0.05263157894736842,0.17647058823529413,0.0,0.17647058823529413,0.5384615384615384,0.05263157894736842
W4_Ideology_4,0.25,0.8181818181818182,0.1111111111111111,0.0,0.05263157894736842,0.0,0.05263157894736842
