Ideology_1,Ideology_2,Ideology_3,Ideology_4
E069_17_support,F121_support,F115_support,E069_07_oppose
E069_06_support,A124_09_oppose,F114A_support,E069_06_oppose
E069_02_support,A124_07_oppose,F121_support,E069_08_oppose
E069_08_support,A124_02_oppose,F116_support,F119_oppose
F119_oppose,A124_06_oppose,F123_support,F120_oppose
F116_oppose,F117_oppose,E069_01_support,F122_oppose
F117_oppose,E069_07_oppose,F120_support,F123_oppose
F123_oppose,F116_oppose,F119_support,F118_oppose
F122_oppose,E069_01_oppose,F117_support,E069_17_oppose
G006_support,F118_support,G006_support,E069_05_oppose
