Ideology_1,Ideology_2,Ideology_3
E069_02_support,E069_07_oppose,F121_support
F119_oppose,E069_08_oppose,F118_support
E069_17_support,E069_06_oppose,F120_support
F123_oppose,E069_17_oppose,A124_09_oppose
F122_oppose,E069_05_oppose,A124_07_oppose
E069_06_support,E069_04_oppose,A124_02_oppose
F116_oppose,F117_oppose,A124_06_oppose
F117_oppose,F123_oppose,G006_support
G006_support,F122_oppose,E069_06_support
E069_01_support,F119_oppose,A124_08_support
