,W6_Ideology_1,W6_Ideology_2,W6_Ideology_3
W5_Ideology_1,0.3333333333333333,0.25,0.05263157894736842
W5_Ideology_2,0.1111111111111111,0.05263157894736842,0.1111111111111111
W5_Ideology_3,0.42857142857142855,0.3333333333333333,0.1111111111111111
W5_Ideology_4,0.25,0.0,0.05263157894736842
W5_Ideology_5,0.0,0.0,0.17647058823529413
W5_Ideology_6,0.1111111111111111,0.05263157894736842,0.3333333333333333
W5_Ideology_7,0.1111111111111111,0.6666666666666666,0.0
