country,iso_code,year,events,fatalities,e_participation_index,media_freedom_score,wave,polarization_score,polarization_zscore,wpf_score,enrollment_percentage,democracy_score
Chile,CHL,2011,,,,,,,,,,7.54
Chile,CHL,2013,,,,,,,,0.5510526315789473,,7.8
Chile,CHL,2018,,,,,7.0,0.5877307907770238,0.1135532522296715,0.5744078947368422,91.1974792480469,7.97
Chile,CHL,2019,,,,,,,,0.5549342105263158,92.0659713745117,8.08
Chile,CHL,2020,,,,,,,,0.5440131578947368,89.1124877929688,8.28
Chile,CHL,2021,,,,,,,,0.5401973684210526,96.2227935791016,7.92
Chile,CHL,2022,,,,,,,,0.4645394736842105,99.3372802734375,8.22
Chile,CHL,2023,,,,,,,,0.4611184210526316,..,7.98
Chile,CHL,2024,12645.0,163.0,0.8356,86.0,,,,,,7.83
China,CHN,2011,,,,,,,,,,3.14
China,CHN,2013,,,,,6.0,0.6099517346562229,0.2817844734648776,0.2429605263157894,,3.0
China,CHN,2018,,,,,7.0,0.3129462024981082,-1.9667970296523043,0.2086184210526316,54.0076217651367,3.32
China,CHN,2019,,,,,,,,0.2044736842105263,57.2754402160645,2.26
China,CHN,2020,,,,,,,,0.2073684210526315,62.2367782592773,2.27
China,CHN,2021,,,,,,,,0.2057894736842105,67.3876190185547,2.21
China,CHN,2022,,,,,,,,0.2313815789473684,71.9815521240234,1.94
China,CHN,2023,,,,,,,,0.2169078947368421,74.823600769043,2.12
China,CHN,2024,15842.0,103.0,0.9315,9.0,,,,,,2.11
Colombia,COL,2011,,,,,,,,,,6.63
Colombia,COL,2013,,,,,,,,0.4771052631578948,,6.55
Colombia,COL,2018,,,,,7.0,0.3159435920456758,-1.9441042715567771,0.45375,57.3205413818359,6.96
Colombia,COL,2019,,,,,,,,0.4419736842105263,56.6663017272949,7.13
Colombia,COL,2020,,,,,,,,0.4430263157894737,55.7331085205078,7.04
Colombia,COL,2021,,,,,,,,0.4359210526315789,58.3159217834473,6.48
Colombia,COL,2022,,,,,,,,0.3449342105263158,59.2901382446289,6.72
Colombia,COL,2023,,,,,,,,0.3633552631578947,..,6.55
Colombia,COL,2024,29658.0,12877.0,0.7397,65.0,,,,,,6.35
Cyprus,CYP,2011,,,,,6.0,0.6753641392004363,0.7770113531252667,,,7.29
Cyprus,CYP,2013,,,,,,,,0.6326973684210526,,7.29
Cyprus,CYP,2018,,,,,,,,0.5930921052631579,81.3370819091797,7.59
Cyprus,CYP,2019,,,,,7.0,0.6432993411293568,0.534253882178789,0.5806578947368422,88.4853286743164,7.59
Cyprus,CYP,2020,,,,,,,,0.5891447368421052,92.9377593994141,7.56
Cyprus,CYP,2021,,,,,,,,0.5930921052631579,96.5377883911133,7.43
Cyprus,CYP,2022,,,,,,,,0.4998026315789474,98.3045806884766,7.38
Cyprus,CYP,2023,,,,,,,,0.5172368421052632,..,7.38
Cyprus,CYP,2024,2081.0,11.0,0.6986,,,,,,,7.38
Egypt,EGY,2011,,,,,,,,,,3.95
Egypt,EGY,2013,,,,,6.0,0.5684265948887017,-0.0325957352710849,0.4035526315789474,,3.27
Egypt,EGY,2018,,,,,7.0,0.5250152281419246,-0.3612562675600032,0.3505263157894737,,3.36
Egypt,EGY,2019,,,,,,,,0.3521710526315789,,3.06
Egypt,EGY,2020,,,,,,,,0.3498684210526315,,2.93
Egypt,EGY,2021,,,,,,,,0.3541447368421052,,2.93
Egypt,EGY,2022,,,,,,,,0.264671052631579,,2.93
Egypt,EGY,2023,,,,,,,,0.285328947368421,,2.93
Egypt,EGY,2024,2735.0,3320.0,0.589,28.0,,,,,,2.79
Germany,DEU,2011,,,,,,,,,,8.34
Germany,DEU,2013,,,,,6.0,0.7118451598348468,1.0532033405852903,0.6563157894736843,,8.31
Germany,DEU,2018,,,,,7.0,0.4478937791423097,-0.9451304548657464,0.6290131578947369,69.1634292602539,8.68
Germany,DEU,2019,,,,,,,,0.6276315789473684,72.705078125,8.68
Germany,DEU,2020,,,,,,,,0.6436842105263159,72.3894195556641,8.67
Germany,DEU,2021,,,,,,,,0.623421052631579,75.6655426025391,8.67
Germany,DEU,2022,,,,,,,,0.6055263157894737,77.3656997680664,8.8
Germany,DEU,2023,,,,,,,,0.6046710526315789,..,8.8
Germany,DEU,2024,23455.0,49.0,0.9726,77.0,,,,,,8.73
Hong Kong,HKG,2011,,,,,,,,,,5.92
Hong Kong,HKG,2013,,,,,,,,0.5515789473684211,,6.42
Hong Kong,HKG,2018,,,,,7.0,0.6666884774232679,0.7113293018257769,0.5326315789473683,,6.15
Hong Kong,HKG,2019,,,,,,,,0.5286184210526316,,6.02
Hong Kong,HKG,2020,,,,,,,,0.52625,,5.57
Hong Kong,HKG,2021,,,,,,,,0.523421052631579,,5.6
Hong Kong,HKG,2022,,,,,,,,0.3397368421052631,,5.28
Hong Kong,HKG,2023,,,,,,,,0.3609210526315789,,5.24
Hong Kong,HKG,2024,,,,,,,,,,5.09
India,IND,2011,,,,,,,,,,7.3
India,IND,2013,,,,,,,,0.4525,,7.69
India,IND,2018,,,,,,,,0.4392105263157894,28.5316867828369,7.23
India,IND,2019,,,,,,,,0.4232236842105263,29.0233592987061,6.9
India,IND,2020,,,,,,,,0.4254605263157895,29.8196392059326,6.61
India,IND,2021,,,,,,,,0.4173684210526315,31.5741767883301,6.91
India,IND,2022,,,,,,,,0.3355263157894737,32.6703071594238,7.04
India,IND,2023,,,,,7.0,0.4468858771307146,-0.9527611202064208,0.3067105263157894,33.1165237426758,7.18
India,IND,2024,147025.0,9311.0,0.6575,50.0,,,,,,7.29
Indonesia,IDN,2011,,,,,,,,,,6.53
Indonesia,IDN,2013,,,,,,,,0.4536184210526316,,6.82
Indonesia,IDN,2018,,,,,7.0,0.4329859580728876,-1.0579951899597635,0.4626315789473684,36.7954559326172,6.39
Indonesia,IDN,2019,,,,,,,,0.4817763157894736,37.925968170166,6.48
Indonesia,IDN,2020,,,,,,,,0.4814473684210527,38.6503868103027,6.3
Indonesia,IDN,2021,,,,,,,,0.4776315789473684,41.0022087097168,6.71
Indonesia,IDN,2022,,,,,,,,0.3899342105263158,42.6331672668457,6.71
Indonesia,IDN,2023,,,,,,,,0.4265131578947368,45.1352272033691,6.53
Indonesia,IDN,2024,18043.0,1284.0,0.7945,49.0,,,,,,6.44
Iran,IRN,2011,,,,,,,,,,1.98
Iran,IRN,2013,,,,,,,,0.2407894736842105,,1.98
Iran,IRN,2018,,,,,,,,0.3242763157894737,,2.45
Iran,IRN,2019,,,,,,,,0.2999342105263158,,2.38
Iran,IRN,2020,,,,,7.0,0.3472603569961822,-1.7070100400335435,0.2973026315789474,,2.2
Iran,IRN,2021,,,,,,,,0.2453947368421052,,1.95
Iran,IRN,2022,,,,,,,,0.2185526315789473,,1.96
Iran,IRN,2023,,,,,,,,0.2290131578947368,,1.96
Iran,IRN,2024,25060.0,2709.0,0.1781,12.0,,,,,,1.96
Iraq,IRQ,2011,,,,,,,,,,4.03
Iraq,IRQ,2013,,,,,6.0,0.4811186114055326,-0.6935905501090847,0.4298026315789474,,4.1
Iraq,IRQ,2018,,,,,7.0,0.6098852218531147,0.2812809156432341,0.351578947368421,..,4.06
Iraq,IRQ,2019,,,,,,,,0.3776315789473684,..,3.74
Iraq,IRQ,2020,,,,,,,,0.3594078947368421,..,3.62
Iraq,IRQ,2021,,,,,,,,0.3580921052631579,..,3.51
Iraq,IRQ,2022,,,,,,,,0.2538815789473684,..,3.13
Iraq,IRQ,2023,,,,,,,,0.2825,..,2.88
Iraq,IRQ,2024,45244.0,18411.0,0.0959,40.0,,,,,,2.8
Japan,JPN,2011,,,,,,,,,,8.08
Japan,JPN,2013,,,,,,,,0.5580921052631579,,8.08
Japan,JPN,2018,,,,,,,,0.5352631578947369,62.2089385986328,7.99
Japan,JPN,2019,,,,,7.0,0.6160138338666301,0.3276796595091775,0.5305263157894737,62.1184997558594,7.99
Japan,JPN,2020,,,,,,,,0.5338157894736842,62.1358413696289,8.13
Japan,JPN,2021,,,,,,,,0.5336842105263159,63.1702690124512,8.15
Japan,JPN,2022,,,,,,,,0.4892763157894737,64.6288299560547,8.33
Japan,JPN,2023,,,,,,,,0.4865131578947368,..,8.4
Japan,JPN,2024,11368.0,1.0,0.9863,78.0,,,,,,8.48
Jordan,JOR,2011,,,,,,,,,,3.89
Jordan,JOR,2013,,,,,,,,0.4705921052631579,,3.76
Jordan,JOR,2018,,,,,7.0,0.3333648452323066,-1.81221074286747,0.4492763157894736,31.5562992095947,3.93
Jordan,JOR,2019,,,,,,,,0.4400657894736842,30.11083984375,3.93
Jordan,JOR,2020,,,,,,,,0.4468421052631579,30.2879695892334,3.62
Jordan,JOR,2021,,,,,,,,0.4415131578947368,30.4513092041016,3.49
Jordan,JOR,2022,,,,,,,,0.3859210526315789,32.5119781494141,3.17
Jordan,JOR,2023,,,,,,,,0.3473026315789473,33.0567016601562,3.04
Jordan,JOR,2024,3681.0,101.0,0.6164,47.0,,,,,,3.28
Kyrgyzstan,KGZ,2011,,,,,6.0,0.6809552696061151,0.8193409094819225,,,4.34
Kyrgyzstan,KGZ,2013,,,,,,,,0.5118421052631579,,4.69
Kyrgyzstan,KGZ,2018,,,,,,,,0.5197368421052632,,5.11
Kyrgyzstan,KGZ,2019,,,,,,,,0.5268421052631579,,4.89
Kyrgyzstan,KGZ,2020,,,,,7.0,0.640314330452623,0.5116548425395617,0.5250657894736842,,4.21
Kyrgyzstan,KGZ,2021,,,,,,,,0.5238815789473684,,3.62
Kyrgyzstan,KGZ,2022,,,,,,,,0.4884868421052631,,3.62
Kyrgyzstan,KGZ,2023,,,,,,,,0.3941447368421052,,3.7
Kyrgyzstan,KGZ,2024,2155.0,117.0,0.4658,48.0,,,,,,3.52
Malaysia,MYS,2011,,,,,,,,,,6.19
Malaysia,MYS,2013,,,,,,,,0.4425657894736843,,6.49
Malaysia,MYS,2018,,,,,7.0,0.7747322221233279,1.5293112568916345,0.4117763157894737,45.2784156799316,6.88
Malaysia,MYS,2019,,,,,,,,0.4819736842105263,43.1977157592773,7.16
Malaysia,MYS,2020,,,,,,,,0.5057894736842105,42.4097671508789,7.19
Malaysia,MYS,2021,,,,,,,,0.4640131578947368,40.9142608642578,7.24
Malaysia,MYS,2022,,,,,,,,0.4049342105263158,40.2706604003906,7.3
Malaysia,MYS,2023,,,,,,,,0.4791447368421052,41.2618560791016,7.29
Malaysia,MYS,2024,1219.0,51.0,0.6986,60.0,,,,,,7.11
Mexico,MEX,2011,,,,,,,,,,6.93
Mexico,MEX,2013,,,,,,,,0.4256578947368421,,6.91
Mexico,MEX,2018,,,,,7.0,0.4325937696526587,-1.0609643859240798,0.4019078947368421,41.6382789611816,6.19
Mexico,MEX,2019,,,,,,,,0.4159210526315789,43.0441398620605,6.09
Mexico,MEX,2020,,,,,,,,0.4246710526315789,45.1654510498047,6.07
Mexico,MEX,2021,,,,,,,,0.4163815789473684,45.6506195068359,5.57
Mexico,MEX,2022,,,,,,,,0.37875,46.4061317443848,5.25
Mexico,MEX,2023,,,,,,,,0.3814473684210526,..,5.14
Mexico,MEX,2024,96855.0,58864.0,0.7397,61.0,,,,,,5.32
Morocco,MAR,2011,,,,,6.0,0.7568518432874307,1.3939417611553648,,,3.83
Morocco,MAR,2013,,,,,,,,,,4.07
Morocco,MAR,2018,,,,,,,,,35.6224212646484,4.99
Morocco,MAR,2019,,,,,,,,,38.0248603820801,5.1
Morocco,MAR,2020,,,,,,,,,40.02001953125,5.04
Morocco,MAR,2021,,,,,7.0,0.6068814303666815,0.2585396894898482,,42.8228912353516,5.04
Morocco,MAR,2022,,,,,,,,,46.1795501708984,5.04
Morocco,MAR,2023,,,,,,,,,47.709358215332,5.04
Morocco,MAR,2024,11532.0,200.0,0.4384,54.0,,,,,,4.97
Netherlands,NLD,2011,,,,,,,,,,8.99
Netherlands,NLD,2013,,,,,,,,0.6810526315789474,,8.84
Netherlands,NLD,2018,,,,,,,,0.657828947368421,83.652473449707,8.89
Netherlands,NLD,2019,,,,,,,,0.6669078947368421,..,9.01
Netherlands,NLD,2020,,,,,,,,0.6581578947368422,85.3370819091797,8.96
Netherlands,NLD,2021,,,,,,,,0.6600657894736842,89.3898620605469,8.88
Netherlands,NLD,2022,,,,,7.0,0.5158996555793748,-0.4302688132373008,0.5784868421052632,..,9.0
Netherlands,NLD,2023,,,,,,,,0.6381578947368421,..,9.0
Netherlands,NLD,2024,3338.0,3.0,0.9315,,,,,,,9.0
New Zealand,NZL,2011,,,,,6.0,0.642178203012404,0.5257659243488397,,,9.26
New Zealand,NZL,2013,,,,,,,,0.6685526315789474,,9.26
New Zealand,NZL,2018,,,,,,,,0.6340789473684211,81.2513122558594,9.26
New Zealand,NZL,2019,,,,,,,,0.6529605263157895,77.5843734741211,9.26
New Zealand,NZL,2020,,,,,7.0,0.5101533183628111,-0.4737734155992538,0.6533552631578947,75.7348327636719,9.25
New Zealand,NZL,2021,,,,,,,,0.6576315789473683,79.4128875732422,9.37
New Zealand,NZL,2022,,,,,,,,0.6153947368421053,77.0104675292969,9.61
New Zealand,NZL,2023,,,,,,,,0.6199342105263158,..,9.61
New Zealand,NZL,2024,1033.0,1.0,0.9315,,,,,,,9.61
Nigeria,NGA,2011,,,,,,,,,,3.83
Nigeria,NGA,2013,,,,,,,,0.4992763157894737,,3.77
Nigeria,NGA,2018,,,,,7.0,0.6323068331829178,0.4510313581347832,0.4775657894736842,11.8107748031616,4.44
Nigeria,NGA,2019,,,,,,,,0.4835526315789473,..,4.12
Nigeria,NGA,2020,,,,,,,,0.4892763157894737,..,4.1
Nigeria,NGA,2021,,,,,,,,0.4625657894736842,..,4.11
Nigeria,NGA,2022,,,,,,,,0.3736184210526316,..,4.23
Nigeria,NGA,2023,,,,,,,,0.3918421052631579,..,4.23
Nigeria,NGA,2024,28419.0,60934.0,0.3699,59.0,,,,,,4.16
Pakistan,PAK,2011,,,,,,,,,,4.55
Pakistan,PAK,2013,,,,,,,,0.3861184210526315,,4.64
Pakistan,PAK,2018,,,,,7.0,0.4871882185638509,-0.6476385225888815,0.4392105263157894,8.39241695404053,4.17
Pakistan,PAK,2019,,,,,,,,0.4221710526315789,11.3472347259521,4.25
Pakistan,PAK,2020,,,,,,,,0.4242105263157894,11.944239616394,4.31
Pakistan,PAK,2021,,,,,,,,0.4153947368421052,12.5983591079712,4.31
Pakistan,PAK,2022,,,,,,,,0.3157236842105263,10.6203098297119,4.13
Pakistan,PAK,2023,,,,,,,,0.3286184210526316,11.2206001281738,3.25
Pakistan,PAK,2024,57014.0,11896.0,0.4932,27.0,,,,,,2.84
Peru,PER,2011,,,,,,,,,,6.59
Peru,PER,2013,,,,,,,,0.5140131578947368,,6.54
Peru,PER,2018,,,,,7.0,0.2879255547894536,-2.15622436194772,0.5245394736842105,..,6.6
Peru,PER,2019,,,,,,,,0.5248684210526315,..,6.6
