,conflict_ranking_norm,e_participation_index_norm,media_freedom_score_norm,polarization_score_norm,wpf_score_norm,enrollment_percentage_norm
conflict_ranking_norm,1.0,-0.3403814469325195,-0.29855775723669165,0.0974173074285606,-0.4532431258606843,-0.423325291357668
e_participation_index_norm,-0.3403814469325195,1.0,0.5109043299265358,-0.3271971259524922,0.5492495975490271,0.634456435408218
media_freedom_score_norm,-0.29855775723669165,0.5109043299265358,1.0,-0.2194996526279651,0.8387011042710467,0.3509461771792311
polarization_score_norm,0.0974173074285606,-0.3271971259524922,-0.2194996526279651,1.0,-0.19587663232224167,-0.19169175782641798
wpf_score_norm,-0.4532431258606843,0.5492495975490271,0.8387011042710467,-0.19587663232224167,1.0,0.4370544533285176
enrollment_percentage_norm,-0.423325291357668,0.634456435408218,0.3509461771792311,-0.19169175782641798,0.4370544533285176,1.0
