Ideology_1,Ideology_2,Ideology_3,Ideology_4,Ideology_5
A124_07_support,A124_07_oppose,A124_02_oppose,F115_support,E036_oppose
A124_08_support,A124_02_oppose,F121_support,F121_support,A124_06_support
A124_09_support,A124_06_oppose,A124_06_oppose,F114A_support,E039_oppose
F119_oppose,F123_oppose,A124_09_oppose,F123_support,F123_oppose
F123_oppose,F119_oppose,F117_oppose,A124_02_oppose,F119_oppose
