country,year,Ideology_1,Ideology_2,Ideology_3,Ideology_4
ARG,1999,0.0921875,0.7015625,0.20078125,0.00546875
ARG,2006,0.09081836327345309,0.6437125748502994,0.26447105788423153,0.000998003992015968
ARG,2013,0.1203883495145631,0.625242718446602,0.2543689320388349,0.0
ARG,2017,0.10767696909272183,0.5543369890329013,0.3339980059820538,0.003988035892323031
AUS,2005,0.17804363124560169,0.21041520056298382,0.6087262491203378,0.0028149190710767065
AUS,2012,0.20785375761679079,0.2132701421800948,0.5748138117806364,0.004062288422477996
AUS,2018,0.14175399889685603,0.14120242691671264,0.7142857142857143,0.0027578599007170436
BRA,2006,0.374,0.42333333333333334,0.18933333333333333,0.013333333333333334
BRA,2014,0.37079407806191117,0.4286675639300135,0.19448183041722747,0.006056527590847914
BRA,2018,0.3416572077185017,0.40749148694665155,0.2474460839954597,0.00340522133938706
CAN,2000,0.3158984981874676,0.1993785603314345,0.4795442775763853,0.005178663904712584
CAN,2006,0.34750462107208874,0.21811460258780038,0.4311460258780037,0.003234750462107209
CAN,2020,0.15082130413140865,0.12294673967147834,0.7147834743653559,0.011448481831757094
CHL,2000,0.3491666666666667,0.4191666666666667,0.21,0.021666666666666667
CHL,2006,0.283,0.46,0.239,0.018
CHL,2012,0.323,0.489,0.183,0.005
CHL,2018,0.223,0.428,0.338,0.011
CHN,2001,0.863,0.116,0.017,0.004
CHN,2007,0.8146659969864389,0.12405826217980914,0.045203415369161226,0.01607232546459066
CHN,2013,0.782608695652174,0.13478260869565217,0.06739130434782609,0.015217391304347827
CHN,2018,0.8316864295125165,0.08761528326745718,0.06620553359683795,0.014492753623188406
COL,2005,0.3831404958677686,0.5193388429752066,0.09652892561983471,0.0009917355371900827
COL,2012,0.289021164021164,0.5853174603174603,0.12235449735449735,0.0033068783068783067
COL,2018,0.07171052631578947,0.75,0.17039473684210527,0.007894736842105263
CYP,2006,0.5028571428571429,0.2638095238095238,0.21714285714285714,0.01619047619047619
CYP,2011,0.535,0.307,0.144,0.014
CYP,2019,0.422,0.448,0.116,0.014
DEU,2006,0.18362403100775193,0.32025193798449614,0.49176356589147285,0.00436046511627907
DEU,2013,0.3313782991202346,0.2561094819159335,0.41104594330400784,0.001466275659824047
DEU,2018,0.19895287958115182,0.10732984293193717,0.693717277486911,0.0
EGY,2001,0.7476666666666667,0.227,0.0,0.025333333333333333
EGY,2008,0.5939036381514258,0.394624713208784,0.0032776138970829235,0.00819403474270731
EGY,2013,0.4366382140512147,0.5213394615889692,0.01969796454366382,0.02232435981615233
EGY,2018,0.22666666666666666,0.7691666666666667,0.0008333333333333334,0.0033333333333333335
ESP,2000,0.2770885028949545,0.24979321753515302,0.46898263027295284,0.0041356492969396195
ESP,2007,0.21666666666666667,0.21416666666666667,0.5633333333333334,0.005833333333333334
ESP,2011,0.2253994953742641,0.4255677039529016,0.3481917577796468,0.0008410428931875525
HKG,2005,0.4584664536741214,0.26677316293929715,0.26277955271565495,0.011980830670926517
HKG,2014,0.441,0.25,0.279,0.03
HKG,2018,0.38746987951807227,0.24096385542168675,0.36,0.011566265060240964
IDN,2001,0.576,0.415,0.002,0.007
IDN,2006,0.5176178660049627,0.44516129032258067,0.023325062034739455,0.013895781637717122
IDN,2018,0.685625,0.25375,0.0265625,0.0340625
IND,2001,0.5324675324675324,0.2857142857142857,0.16733266733266733,0.014485514485514486
IND,2006,0.5767116441779111,0.1984007996001999,0.17691154422788605,0.047976011994003
IND,2012,0.6986267778322707,0.2680235409514468,0.012751348700343305,0.020598332515939184
IND,2023,0.7121749408983451,0.16725768321513002,0.08806146572104019,0.03250591016548463
IRN,2000,0.5343601895734598,0.38783570300157977,0.011453396524486572,0.06635071090047394
IRN,2007,0.3269591301087364,0.592800899887514,0.03637045369328834,0.043869516310461196
IRN,2020,0.7484989993328885,0.16544362908605736,0.04536357571714476,0.040693795863909275
IRQ,2004,0.810752688172043,0.18924731182795698,0.0,0.0
IRQ,2006,0.8430211032950758,0.1569788967049241,0.0,0.0
IRQ,2013,0.36666666666666664,0.5641666666666667,0.04583333333333333,0.023333333333333334
IRQ,2018,0.3,0.57,0.07416666666666667,0.05583333333333333
JOR,2001,0.794766966475879,0.19215044971381848,0.0024529844644317253,0.01062959934587081
JOR,2007,0.7925,0.15333333333333332,0.0016666666666666668,0.0525
JOR,2014,0.5866666666666667,0.39666666666666667,0.005,0.011666666666666667
JOR,2018,0.5926849542809642,0.372402327514547,0.007481296758104738,0.02743142144638404
JPN,2000,0.2753303964757709,0.3788546255506608,0.34508076358296624,0.0007342143906020558
JPN,2005,0.3521897810218978,0.2572992700729927,0.3905109489051095,0.0
JPN,2010,0.5296766270978306,0.3331968890708146,0.13016782644289807,0.006958657388456815
JPN,2019,0.4434589800443459,0.16038433111603842,0.3909830007390983,0.005173688100517369
KGZ,2003,0.33557046979865773,0.5369127516778524,0.09300095877277086,0.03451581975071908
KGZ,2011,0.5273333333333333,0.39266666666666666,0.04,0.04
KGZ,2020,0.47833333333333333,0.4691666666666667,0.034166666666666665,0.018333333333333333
KOR,2001,0.4225,0.41333333333333333,0.13666666666666666,0.0275
KOR,2005,0.3958333333333333,0.4325,0.13916666666666666,0.0325
KOR,2010,0.48333333333333334,0.4191666666666667,0.060833333333333336,0.03666666666666667
KOR,2018,0.4072289156626506,0.41686746987951806,0.14377510040160643,0.0321285140562249
MAR,2001,0.469224620303757,0.5259792166266987,0.0015987210231814548,0.0031974420463629096
MAR,2007,0.5783333333333334,0.3975,0.009166666666666667,0.015
MAR,2011,0.5966666666666667,0.3983333333333333,0.0033333333333333335,0.0016666666666666668
MAR,2021,0.2275,0.5916666666666667,0.12583333333333332,0.055
MEX,2000,0.2501628664495114,0.5413680781758957,0.1791530944625407,0.029315960912052116
MEX,2005,0.24102564102564103,0.47628205128205126,0.2724358974358974,0.010256410256410256
MEX,2012,0.1975,0.564,0.2265,0.012
MEX,2018,0.11430212521539346,0.6249282021826537,0.24641010913268235,0.014359563469270534
MYS,2006,0.5553705245628643,0.1781848459616986,0.15070774354704414,0.115736885928393
MYS,2012,0.7069230769230769,0.18461538461538463,0.04692307692307692,0.06153846153846154
MYS,2018,0.4082254379284082,0.2817974105102818,0.23533891850723535,0.07463823305407463
NGA,2000,0.6345202769535113,0.3249258160237389,0.033135509396636995,0.00741839762611276
NGA,2012,0.55031267765776,0.39283683911313244,0.036384309266628764,0.02046617396247868
NGA,2018,0.4721099434114794,0.5036378334680679,0.015359741309620048,0.00889248181083266
NLD,2006,0.12285714285714286,0.24571428571428572,0.6304761904761905,0.0009523809523809524
NLD,2012,0.12092534174553102,0.1498422712933754,0.7281808622502629,0.0010515247108307045
NLD,2022,0.11794871794871795,0.12074592074592075,0.7603729603729604,0.0009324009324009324
NZL,2004,0.24842767295597484,0.2389937106918239,0.5073375262054507,0.005241090146750524
NZL,2011,0.2901307966706302,0.17954815695600476,0.5267538644470868,0.0035671819262782403
NZL,2020,0.1986754966887417,0.11352885525070956,0.6868495742667928,0.000946073793755913
PAK,2001,0.6405,0.3595,0.0,0.0
PAK,2012,0.4575,0.5241666666666667,0.013333333333333334,0.005
PAK,2018,0.656641604010025,0.29774436090225564,0.031578947368421054,0.014035087719298246
PER,2001,0.10992671552298468,0.8647568287808128,0.021319120586275817,0.003997335109926716
PER,2006,0.09266666666666666,0.9073333333333333,0.0,0.0
PER,2012,0.14380165289256197,0.7487603305785124,0.09421487603305785,0.013223140495867768
PER,2018,0.08857142857142856,0.8035714285714286,0.10357142857142858,0.004285714285714286
PHL,2001,0.5683333333333334,0.22,0.15,0.06166666666666667
PHL,2012,0.5058333333333334,0.21916666666666668,0.2025,0.0725
PHL,2019,0.56,0.14833333333333334,0.21666666666666667,0.075
ROU,2005,0.31644144144144143,0.579954954954955,0.08727477477477477,0.01632882882882883
ROU,2012,0.2761144377910845,0.6580172987358616,0.059880239520958084,0.005988023952095809
ROU,2018,0.273667462211615,0.6260938743038982,0.09148766905330151,0.008750994431185362
RUS,2006,0.2911952779144122,0.5272995573044762,0.147073290703394,0.03443187407771766
RUS,2011,0.3184,0.5552,0.0792,0.0472
RUS,2017,0.3425414364640884,0.3712707182320442,0.20276243093922652,0.08342541436464089
SGP,2002,0.8095238095238095,0.03571428571428571,0.11243386243386243,0.042328042328042326
SGP,2012,0.6572008113590264,0.17089249492900607,0.1359026369168357,0.03600405679513185
SGP,2020,0.6500994035785288,0.1466202783300199,0.1988071570576541,0.0044731610337972166
SRB,2001,0.31166666666666665,0.5683333333333334,0.115,0.005
SRB,2006,0.13524590163934427,0.5163934426229508,0.29098360655737704,0.05737704918032787
SRB,2017,0.17208413001912046,0.5745697896749522,0.21510516252390058,0.03824091778202677
SWE,1999,0.1605911330049261,0.11822660098522167,0.7201970443349753,0.0009852216748768472
SWE,2006,0.13160518444666003,0.05583250249252243,0.8115653040877367,0.0009970089730807576
SWE,2011,0.1558872305140962,0.07960199004975124,0.7628524046434494,0.001658374792703151
THA,2007,0.3670143415906128,0.5189048239895697,0.0651890482398957,0.04889178617992177
THA,2013,0.5483333333333333,0.355,0.06583333333333333,0.030833333333333334
THA,2018,0.574,0.30266666666666664,0.106,0.017333333333333333
TUR,2001,0.6668626874448692,0.33313731255513085,0.0,0.0
TUR,2007,0.6396731054977711,0.30534918276374445,0.043833580980683504,0.011144130757800892
TUR,2011,0.6336448598130842,0.33271028037383177,0.013084112149532711,0.020560747663551402
TUR,2018,0.6169772256728778,0.2662525879917184,0.07494824016563147,0.04182194616977226
TWN,2006,0.2045639771801141,0.5916870415647921,0.19722901385493072,0.006519967400162999
TWN,2012,0.43134087237479807,0.3182552504038772,0.2294022617124394,0.0210016155088853
TWN,2019,0.4513491414554375,0.2829108748977923,0.25511038430089944,0.01062959934587081
UKR,2006,0.307,0.489,0.177,0.027
UKR,2011,0.2853333333333333,0.612,0.07466666666666667,0.028
UKR,2020,0.22265321955003878,0.5779674166020171,0.15748642358417378,0.04189294026377036
URY,2006,0.214,0.305,0.474,0.007
URY,2011,0.228,0.338,0.433,0.001
URY,2022,0.22,0.239,0.539,0.002
USA,1999,0.3466666666666667,0.23666666666666666,0.4075,0.009166666666666667
USA,2006,0.311449159327462,0.3490792634107286,0.33706965572457964,0.0024019215372297837
USA,2011,0.31989247311827956,0.40053763440860213,0.27195340501792115,0.0076164874551971325
USA,2017,0.18836671802773497,0.27465331278890603,0.5323574730354391,0.004622496147919877
VNM,2001,0.898,0.068,0.025,0.009
VNM,2006,0.8936454849498328,0.042140468227424746,0.03076923076923077,0.033444816053511704
VNM,2020,0.5491666666666667,0.035,0.24416666666666667,0.17166666666666666
ZAF,2001,0.49266666666666664,0.359,0.123,0.025333333333333333
ZAF,2006,0.5281124497991968,0.2991967871485944,0.1539491298527443,0.018741633199464525
ZAF,2013,0.2585669781931464,0.3211554800339847,0.356273010478618,0.06400453129425092
ZWE,2001,0.6626746506986028,0.3313373253493014,0.003992015968063872,0.001996007984031936
ZWE,2012,0.5126666666666667,0.4186666666666667,0.058666666666666666,0.01
ZWE,2020,0.4773662551440329,0.45185185185185184,0.06502057613168724,0.005761316872427984
